,talentId,platformId,type,followers,Avg View Through Rate,Avg Engagement Rate
679,32e3a88c-ce86-41e1-9387-e69570806451,4253351116,video,36772,11.00%,3.84%
681,33121244-ade5-4908-b878-156b0a68a04a,4229932131,video,41698,5.93%,0.69%
683,339144fb-56e9-43fb-b389-6b8e968f0470,2305063110,video,26813,5.14%,1.50%
685,33c851ff-4cb0-4a4a-bce5-7e2167fc86ac,370383784,video,25968,74.56%,4.26%
688,33d842d9-8b86-409c-9fdf-77a823b5b1b1,1122294576,video,33297,38.41%,8.25%
690,33f26f69-9340-4395-8a90-0c1d3275fab2,301205602,video,40721,11.33%,0.88%
693,34911e56-22b1-4b69-98d9-c42055e0b17d,199126582,video,53990,15.96%,2.65%
695,34954dd8-0162-446a-a8d3-f3923a501406,187430703,video,41497,8.47%,0.91%
697,34992a86-d670-4c81-920a-0d5bb66db591,15687514,video,86458,8.67%,1.25%
700,34d2a0cf-e999-4991-8df4-6ad9c7d41eb0,199982153,video,52892,1.21%,0.36%
702,3510a2a3-728f-4f71-b969-280801394899,368424963,video,75610,12.14%,0.64%
704,3512b2ab-1c69-4caf-9db1-45dd02732e14,348438464,video,53321,9.23%,0.64%
706,355045ca-6145-436c-9510-0800fa451038,245346982,video,45561,30.84%,4.96%
708,355eb640-b3b3-4c72-9d5a-671b0873e90e,562575523,video,64700,7.69%,0.85%
710,35d0a7b5-f37d-4e3a-8912-17f3eee13d7b,396923755,video,51596,26.99%,4.55%
712,36406465-9160-4fc1-8c3c-39afb6770d24,1667329706,video,70734,8.50%,2.00%
714,365a1ed8-c383-4729-b9f6-f72377006f4b,623135794,video,51494,19.37%,3.07%
716,36797bb7-58fc-4c0a-a463-4ff8ab4fd780,2244753198,video,75646,22.93%,6.53%
719,36e5a15a-2d06-4b13-b30b-31734f6709a0,179104785,video,31843,3.19%,0.81%
721,36f80533-4a56-48c0-b18e-d59912d22a8b,4836189680,video,56225,18.43%,2.96%
723,36fab216-b6b2-4e1d-b68a-fd3f6c68c694,417934713,video,39186,9.09%,0.95%
726,3782030b-0908-4db9-b988-68c4419e0c60,21466284,video,37634,7.51%,0.93%
728,37cda536-eb58-4a44-aaf6-d7e0e69d2a03,357527392,video,44304,10.27%,1.09%
729,3818ba73-901b-4690-a035-7cd2932cfd32,285822876,video,53652,40.14%,3.25%
732,38800b33-a771-4579-93a3-cb58cc06226c,1562979515,video,41739,6.28%,1.58%
734,38e7bccd-2bb1-416f-bae0-a6f8a9c7aa0a,5701309379,video,64837,31.42%,3.87%
737,393e9d94-781d-4546-a7b5-82adf2424d24,2714583644,video,53949,74.04%,2.43%
738,395a4a86-7cb1-4c53-bf07-05d35e704e77,1334831929,video,49067,94.93%,11.34%
740,397491de-bb83-49f4-b16b-8b118705c042,392235074,video,56388,4.53%,0.57%
742,39b1c20d-3d36-47c9-b6d5-7554abf8a7a9,420623467,video,94634,3.94%,0.43%
743,3a18c8e0-3797-4ddb-b96e-83de8a5e2902,2985296256,video,65744,209.01%,6.84%
746,3a457678-3688-4a9a-897f-81e026a617ce,875244514,video,80878,1.69%,0.14%
748,3a72363d-eb4b-4fb5-b42c-e4e0955bba29,4793812664,video,22517,98.77%,4.63%
750,3a79bf11-74ab-4333-b9c2-6e592528446a,174163293,video,70150,16.06%,0.89%
752,3aee6e73-b951-4e15-8888-9faa88495b19,1486876396,video,37747,3.91%,1.35%
754,3b0757cf-c2e9-4fb6-9c7f-14707c496fbb,1529967092,video,59706,5.47%,0.56%
756,3bf0f1d4-ddef-4649-9fa5-17947967fad0,1216063017,video,80433,8.27%,1.15%
758,3c14ad3a-8d33-4dc8-a90d-ef096bafacb8,1074505,video,43457,2.36%,0.48%
760,3d63b0b3-8451-4afe-ab36-4a7ae901c2a2,2942779112,video,59522,125.93%,4.22%
763,3dec51d4-eee2-4490-8eb4-910139b8f5b0,340945445,video,40236,1.37%,1.68%
765,3e3f5595-c795-44f5-a4d9-2d1971082fea,938919675,video,35215,6.65%,1.31%
767,3e59e520-6f08-4f6c-ab04-7b73e6da3f8e,462589987,video,39713,24.58%,3.82%
769,3e69483c-d8bf-4c00-b953-7f8d9c60a98d,252051909,video,21511,11.55%,1.45%
772,3edcbada-678a-49ec-ba92-af5d603706b9,449412936,video,33627,1.31%,0.44%
774,3f271b08-507c-4220-920e-cdb62c668ea5,22938807,video,72032,3.00%,0.59%
776,3f76355d-ab31-4e8c-bf43-6ee0e60feefd,329707392,video,89678,74.39%,6.11%
779,3fb543fd-1655-4cc4-9ea2-71e461055453,1622614373,video,70082,29.22%,2.90%
781,3fb80cdf-7a3e-4134-aae6-1398a88a284b,30319219,video,86903,10.76%,1.33%
783,3ff14734-65a4-4a80-bce2-d665d75050fc,1639510649,video,59271,43.48%,6.86%
785,40197e88-ec05-4941-9be6-aaed24129a35,6021630,video,59787,22.80%,4.59%
787,401cbd9c-9e1e-49e8-a08f-d4d146ec37fb,500706851,video,86811,65.60%,9.71%
789,402f66db-703d-45f3-9db4-6e31e01d2cf5,772269761,video,32525,63.68%,4.24%
791,4041e512-aae0-4776-bb9e-a2cb25c45163,1479798700,video,34185,11.00%,1.68%
793,404b2e90-305b-4326-9592-3b8b777caab8,246190623,video,66985,9.70%,1.40%
795,405e7048-34f8-40a7-bed0-7b43a30fdef3,508102013,video,93099,15.40%,1.18%
797,40cc1366-5a42-46d6-836c-45431384d8de,234088993,video,26601,7.18%,2.86%
800,415f902e-dd7d-4753-9ec0-4c5bbf57425f,359998359,video,96683,3.02%,0.31%
802,421c66da-08e2-4868-a732-5d7fa669977c,17508584,video,22763,17.55%,1.14%
806,42398160-0bed-4e4a-b722-00f7879a24c4,3409273947,video,26628,23.54%,1.60%
808,426715e6-e94f-467e-b78e-b2b109984196,183018000,video,68730,57.93%,4.83%
810,42b2e7e5-55f3-49a8-9884-701df13f3631,605883,video,63993,8.55%,1.55%
812,42d61fcb-9e86-4943-80d8-c2f1bd5a6457,3069553149,video,30479,6.14%,1.71%
814,42f43a55-ac51-4fb1-aae1-dab46818daf6,588628480,video,80633,4.51%,0.63%
816,43366cc5-03c9-45e3-b245-76946e112a7b,441923551,video,67179,12.95%,0.78%
818,4344ceb9-35b6-4003-a85c-8aac0d3f8df1,35357149,video,61042,9.88%,0.75%
820,43536117-cd67-4b12-9c44-cbc011137d53,348163972,video,41679,12.73%,2.69%
822,43a3b24c-b2bb-4b63-918f-057011f1e6cd,28111036,video,27594,115.87%,11.73%
824,43effc1f-7d7f-42fd-9739-41f98d7bce2b,421529944,video,93311,6.72%,0.60%
826,440deced-1cf0-4009-9667-4d67275e6d36,254620963,video,58485,7.76%,1.15%
829,448154f7-5c4c-4cc2-afec-37d17bc501a9,250516851,video,63690,6.83%,1.03%
831,44ae0716-bebe-4938-916b-b93b4f124566,1462818034,video,55073,34.94%,2.95%
833,4546ccea-3e52-4392-aeec-f8e1d611af40,306628287,video,89779,19.65%,2.63%
835,4593e1b0-7e06-41a4-b8d7-ee0fc0766fb9,54957707,video,40470,2.85%,0.50%
837,45a63f17-e1e6-496c-a3db-86489d055191,15709029,video,33740,4.42%,0.29%
841,464922da-e470-449d-beab-21e7d07d4302,220906622,video,36168,13.01%,2.93%
843,465c3ce5-215d-469b-8ae4-c11c0793efab,363691114,video,20481,99.68%,4.00%
845,468ec0a0-9047-45f3-a6f7-80183cc2ac7a,374807336,video,32246,8.09%,2.14%
847,4691481d-6b70-480d-b02f-904062d1b4d1,720468755,video,23153,16.67%,1.97%
849,46a10cf3-35a8-43df-81f8-8d5db497104b,216353767,video,95433,3.14%,0.77%
851,46ace14d-9407-468f-b220-febb3f4b0a98,573961616,video,72121,3.33%,1.64%
853,46d77fdf-7c02-4ca2-9957-8a8ed0380012,1119102555,video,30875,1.42%,0.83%
855,470f746e-691a-4188-80d0-4308598cdd5a,293918473,video,48643,2.52%,0.15%
856,47480ca5-997a-4708-9447-b99cf7d3cde9,5877455149,video,68278,33.06%,3.56%
858,4765973d-7070-4547-a9c1-9f88e9478b7f,1283992146,video,83828,17.46%,0.44%
860,4799f92d-01a2-4e45-8fa3-4ad1984a73a6,1358680433,video,68305,34.81%,6.95%
862,47d381e3-bc2c-4376-bb37-fd4948ec0001,291216738,video,98628,52.68%,2.54%
864,4815b14f-891d-4953-a07a-57bd734876e1,309522925,video,55470,3.64%,0.66%
868,48715050-6125-476e-8b02-00b66772d62c,1915490395,video,30175,13.40%,3.38%
870,4901af1e-28b7-49a3-b0dd-c5e4b453dece,1959397889,video,42249,7.14%,1.36%
872,4934409b-72bc-4f93-8056-2090b0d941f6,1484868114,video,80990,8.52%,1.32%
874,49df3114-8dbd-4f7a-8549-919152aff4d5,4610206,video,29812,33.33%,3.07%
876,4a0ee676-a9ae-4992-9c24-976992cb948f,2899455,video,96532,10.08%,1.61%
878,4a51e711-a1c5-4424-895d-abc3d60c9945,264947036,video,94960,29.20%,2.35%
880,4a841e55-0437-4a3b-99c3-e5deedd52e7f,486432073,video,97742,12.32%,1.02%
882,4aa2316c-811e-46f4-aa49-841150966b06,327011507,video,44385,78.03%,5.17%
884,4aa501f3-a03f-4a85-8e87-c89602486ab4,4658494682,video,56214,6.42%,1.68%
886,4af15528-c6f5-490a-ab4a-5fb401fee5db,29570321,video,43455,3.40%,0.30%
889,4b48e75e-a2b1-4d04-8dc2-d685b02818fc,618114014,video,41695,0.65%,0.28%
891,4ba694fc-8b9d-488b-905d-5e13d2f735ac,401448296,video,53229,2.60%,0.42%
894,4c58e0a9-adc4-430e-8ffa-80443a0b9437,287197786,video,69326,29.54%,2.36%
896,4c895983-179a-4f5b-913c-bc6e65b2eb37,468779859,video,72932,29.64%,3.47%
898,4cc593c1-3ecb-47b7-9b11-0aad195610d7,675740805,video,34444,11.86%,2.61%
902,4d04587d-4ee0-46d1-89c7-0aa35de07df7,3145068710,video,69498,140.62%,21.56%
904,4d602794-11ed-4ef0-b632-2c6106a2c004,2257138713,video,70901,25.43%,1.77%
906,4d61cd5a-3986-40e1-8f17-af73277bacfb,26383221,video,28682,3.01%,1.10%
907,4df4543f-9329-49d1-b738-48455a957738,1117837400,video,31253,125.32%,12.82%
909,4e0f6c94-74c8-4ae6-bb98-4a7c3c03ee42,598182012,video,66644,74.35%,2.79%
911,4e3cdbb8-9bdb-44c1-b5ee-17cdb887b3f6,1087145052,video,59563,40.09%,2.84%
913,4e3e1820-acde-42b7-b8db-7c2f06b26c66,270803586,video,53626,17.62%,2.94%
915,4e5340f0-6cbd-41cc-900d-3859e2944ac2,697302507,video,82428,9.39%,1.15%
917,4e99b50b-8b41-4f76-b7dc-a04528ae3c7b,515672122,video,36844,21.65%,4.45%
920,4f13e621-c1c6-4c6f-b36a-245a3ea2801f,298632957,video,36249,52.45%,14.86%
923,4f75de43-2db4-454c-98d5-9e3912a36e2d,1497737037,video,74276,5.82%,1.10%
925,4f859efc-41af-4685-99bc-b69314922455,440724597,video,26394,24.00%,3.33%
931,50be5e83-e15d-4f16-aa3a-17feea5c57c7,1168595309,video,41920,23.60%,2.20%
933,51720159-4c46-414d-9b59-d5d971ce9881,5708503933,video,60126,33.09%,6.24%
936,519c525a-6e85-4985-a3f4-63c1ea5d42c4,4735038583,video,41808,12.74%,1.66%
938,51b23466-c595-43b5-a7c0-1bc9f75b12b6,176956782,video,62782,23.85%,6.68%
940,51be4440-dc26-4288-820d-19a815035cd4,229981544,video,51215,45.46%,3.94%
942,51cf2bea-a0a9-48c1-a290-5075df72b0d4,370396200,video,30704,4.72%,0.63%
944,51d43f30-2474-45a5-b43d-83ab48012095,369398637,video,43402,2.11%,0.91%
946,51e68a44-8e73-4423-8386-f2efb0cb7932,427506194,video,58826,5.63%,0.57%
951,532949f6-fbe5-4f96-b3a4-8c9267a38b62,1815504112,video,41401,2.31%,0.44%
953,5359ca1b-d318-4077-b646-aff8789d4f4d,1427359543,video,37197,1.37%,0.74%
956,53b2aac3-7f1e-4d44-b0c2-cc118a9121c1,269890391,video,59444,7.15%,1.84%
958,53b44591-bfd6-431e-ab2b-1a063843707f,998893897,video,37649,4.67%,0.72%
960,543dd49a-1373-41a7-9be0-a035c90fc39b,12763732,video,47729,1.55%,0.39%
963,54770627-40df-4236-abf5-a35f3835bdf5,300504300,video,38084,11.05%,1.81%
965,549116e9-575c-428b-ba60-23d221d732ba,394953461,video,88931,13.75%,2.41%
966,54973794-ea10-4526-95ef-b4dc564a77ab,281980996,video,32219,15.27%,2.39%
969,553bd844-f3a0-4641-a51b-79921e654051,1432403434,video,43071,32.74%,2.58%
971,55418ea4-a978-43af-b366-cfc122fced3a,407972444,video,45439,15.56%,2.15%
973,55c61d40-f308-44cc-91cc-9aec7a4aa6a4,7707569853,video,93403,20.95%,2.52%
975,55cac1f8-0f82-412e-bc10-f0bbe82e6c0e,362163073,video,52167,1.19%,0.31%
977,5602280b-7237-41b7-8f7b-d1f0324e45ca,269051035,video,22618,11.53%,1.10%
980,5620ea71-0c5e-4de3-b535-ca1c609400b0,394760951,video,75135,2.54%,0.46%
982,5657d80b-8986-45d5-ab5e-998473e9b4eb,209352707,video,68910,52.50%,3.45%
984,5661265b-1ab3-47bd-b5be-aa6aa6c66e59,284144724,video,51234,18.23%,1.33%
986,5668dc85-98cb-4761-a4ba-7fbcd4192d0c,195293840,video,39010,3.97%,0.97%
988,567a82c1-33f0-41d7-af04-15191bb70887,202357621,video,28086,13.32%,1.15%
993,5777c47a-6fd2-484d-9992-b9768cd08767,260101907,video,54642,1.36%,0.49%
995,578dc2e1-bd8e-4cff-8326-19650d6c0085,7738629,video,32233,5.12%,0.71%
999,57d6fb7b-001e-4b43-a7a3-a5666ebe272e,202162424,video,50639,55.06%,9.05%
1001,57edaffe-151a-4d9d-95d3-d046e8e0878a,50271126,video,44024,1.80%,0.37%
1004,5834d010-3678-4cd4-b836-426654533f1a,1489416353,video,23435,6.35%,0.70%
1006,58359624-c1aa-4068-8c1e-f4cea2cd2278,211263785,video,58507,5.44%,0.90%
1009,58d10509-985d-481d-ad02-5acd3eee800b,367332761,video,58789,2.42%,0.34%
1011,591209fc-61e4-4bcb-bfcb-07e1fd861105,178552667,video,20601,15.96%,7.28%
1013,59277267-9c39-45e5-bdfb-38c27c3b6d91,1674304905,video,27259,6.41%,1.11%
1015,592be891-3e58-4795-bb1f-4f23913f2f26,1451071971,video,46754,5.04%,0.93%
1017,592c8df9-d456-42c8-a492-a8087d46ee39,1581364257,video,53495,4.47%,7.45%
1018,59c26b6b-9093-4a2a-aba4-d0fcd6d09714,470084234,video,25800,6.86%,2.32%
1022,5a1ea893-ea49-4fb7-9173-87bb115a5a8a,1481619977,video,29611,12.78%,2.22%
1025,5a7f03d2-d79c-4576-b566-466a018b1005,1426220895,video,96369,8.89%,1.45%
1027,5aa2fb26-2d91-4f10-97ec-fc45595fef98,514570220,video,48092,46.02%,2.83%
1029,5ab71479-86ec-4028-a542-47991bf4c718,211394051,video,40118,20.64%,0.49%
1033,5b1bf344-e234-495b-a960-a0f18b497020,277629183,video,93536,6.17%,1.84%
1035,5b5bfced-046d-4bc4-9501-1777098a14cf,1522853242,video,23941,11.20%,3.15%
1037,5bcf164e-80a3-4c54-a34c-82d05689430f,177348694,video,45125,5.60%,0.64%
1038,5c31f8fe-a714-43df-94df-22914c0b30d3,325031957,video,54823,117.53%,4.83%
1040,5c652da6-5889-426a-aca4-c0530d95e8ff,508208250,video,60526,1.05%,0.12%
1042,5cd7581f-c9b2-405d-b96a-810c9a2938b1,181864915,video,25844,8.04%,1.34%
1044,5cfe0720-6143-4738-a49a-d04c15b3e741,30199158,video,73838,7.07%,2.82%
1045,5d617caf-5204-4ecf-91ac-279f76aa38c9,334680437,video,49569,44.52%,5.37%
1047,5d697923-4929-4df3-b71e-550ccccd7974,24327091,video,60287,3.76%,0.74%
1049,5d7dbfa3-892e-40ca-942e-602f6c5e1a35,790126123,video,35123,6.37%,1.79%
1051,5dec61f4-bd6f-462f-a944-b15db899f616,4057361016,video,52371,6.55%,0.53%
1053,5e5f3091-af08-47cc-8dcb-baf6d94a8120,51648469,video,67506,5.84%,0.57%
1055,5e866706-6f8f-4880-8740-a7ab662411b5,354552032,video,75494,1.36%,0.14%
1057,5eae6aa3-ee3e-4104-bc1a-30a60d3e83a1,214501061,video,72200,31.57%,4.25%
1059,5edf082c-0b36-49df-bb06-619d5c3030ef,521308710,video,69060,21.11%,2.30%
1061,5f182993-6aa2-4060-aac3-d155be434038,228367460,video,34009,19.46%,2.30%
1063,5f543c78-f17a-48e4-aa48-a90794c31ecb,322328864,video,46093,5.01%,0.79%
1065,5f6dd287-ee58-43c4-9db9-cd197f081733,362946617,video,55556,29.80%,3.01%
1066,5f873e34-df3d-40bf-aea9-b67fbfddf0b0,416218188,video,60278,2.29%,0.24%
1068,5fbc73db-6698-436c-adfe-1bb9753bef3f,2043894876,video,55733,4.97%,1.04%
1070,5ff4d0df-41e5-4f45-b6e9-86f1e0d4f816,192261794,video,98809,5.89%,0.39%
1072,600d6ccd-890c-4004-9dce-0fbe8abfcfbc,144161447,video,92068,1.78%,0.48%
1074,600e5284-912f-4382-aadc-c25f1d8f6b3b,341294455,video,68165,0.52%,0.06%
1077,60edaa05-c5be-4bdd-8680-312f6ddf820b,272866310,video,35632,3.05%,0.53%
1079,61355b4d-e360-4932-b4eb-627ac1554d58,2077857506,video,58636,0.78%,0.18%
1083,61a679f0-8d4a-4698-81ea-4501bf2855e6,3603018279,video,38501,5.25%,1.05%
1085,628c96a3-6bcf-4e90-b90a-7214742df5e8,1689037318,video,53863,14.12%,1.48%
1087,629dfb5a-1cb6-46ac-83b6-7a653bc2476e,2011101045,video,84114,10.49%,2.48%
1092,63a4d1ce-1b72-4742-bb63-2432c68ef627,35782244,video,71912,1.15%,0.10%
1094,644285dc-9901-402c-97cb-51ac1ae51bf7,179275715,video,85341,2.91%,0.28%
1096,64bac43b-4953-47ed-82d5-20219015fc95,177708911,video,35819,1.52%,0.54%
1098,64f47a3f-9fe6-4372-a8fc-2dc8c4469a4e,1546831447,video,52615,6.05%,1.24%
1102,656239f7-c190-437e-b3f3-e28e670e7d02,1.78414E+16,video,66344,11.41%,1.17%
1104,65a85e08-9534-482f-8b50-294fc3d7c298,3234232746,video,56216,73.97%,4.51%
1106,65be3e7b-c2de-4234-ad0c-957c521761b7,18862744,video,56362,10.04%,0.81%
1109,6678735b-2644-4d3e-a18d-96fc5b1ed0eb,202855325,video,93134,3.52%,0.48%
1111,66a8838a-f921-4278-b1f7-4489e7e756f9,347534688,video,51430,2.98%,0.47%
1113,66cb163b-bf68-4762-bdff-b5e020aaaad9,1984506182,video,72988,7.39%,0.23%
1115,676312f3-6bb3-4a80-83fb-6594da09e678,304677948,video,39659,24.60%,3.21%
1117,676d2dc8-370c-411c-89cb-e6b04de67f6e,3220544564,video,52392,4.80%,1.62%
1119,67a1bb8f-1474-4a35-801d-83532e916dc1,2990362,video,42103,6.31%,0.96%
1122,680df2eb-4d4a-4473-a961-582ebca18285,175691062,video,72513,3.79%,0.56%
1124,682a7ac9-d501-41a9-8259-ecc87cd9b416,1526720126,video,50075,8.79%,1.32%
1128,68aba4a8-16ca-4ad8-bae4-71b6f52f9fdb,319201230,video,95255,11.12%,1.25%
1131,68c2af20-555a-4dd7-9728-593e22d5b7d4,215251438,video,42373,40.12%,3.27%
1134,68e10c33-007f-4320-9155-433ff2f6a414,226403703,video,31008,10.67%,2.07%
1136,68e681aa-04c1-45e8-9d31-3b3824cb3522,201923549,video,71012,7.12%,0.71%
1138,68f8b063-4e99-49d0-bdcf-83dcc88414ea,671414792,video,33604,3.39%,0.29%
1140,695049e9-9b17-46a8-b576-e434f13ef725,873533087,video,47349,28.34%,3.15%
1142,69675b2d-1b40-4371-a13e-3ae3052b1128,398739911,video,46271,25.97%,0.63%
1144,69a059d0-124b-4a22-be01-a6d502e21e26,611512605,video,58783,3.52%,0.92%
1146,69b85699-7e25-4e8c-9f57-84d1c64824b8,207374033,video,62821,1.49%,0.23%
1149,6a179820-26a2-49d7-b97b-32d67658d56e,3260409050,video,34696,17.14%,2.84%
1152,6a7da94d-82e2-4e24-a3c4-34a470b64f2b,193386960,video,24105,4.71%,1.85%
1155,6aa313bf-8999-4753-8894-81ce1ba3e9b0,1500289192,video,34426,4.46%,0.43%
1158,6bce4966-0e5e-4930-b946-cf43c5a424c9,4029135474,video,31003,3.78%,1.61%
1159,6c29f286-48c8-4280-a38e-1c5491d5a9b3,300282435,video,46539,2.75%,0.65%
1161,6cc6c932-b5b3-4fd5-b461-53998c968f20,32453792,video,48604,35.23%,4.59%
1163,6cd00c11-9ba2-443a-b149-f65865108586,368522893,video,55295,20.79%,1.31%
1166,6d996e01-e785-4c5f-b50c-efb2604a8ed9,406319811,video,56916,43.97%,6.84%
1168,6ddaec6e-4cd5-41ec-b8b4-975824eb576f,630925910,video,60909,3.85%,0.52%
1170,6e024602-f0ac-4d26-af98-a17e8fadf665,451841858,video,57243,1.83%,0.09%
1172,6e38c33e-4069-4f65-a1e6-2ac14d2319c4,378280069,video,51572,23.71%,4.03%
1174,6e55a083-d94a-4952-ae47-d37a1552ab80,177318116,video,49387,5.39%,0.63%
1175,6e5c9bc0-4af7-4bd9-8fd4-0519e6af5738,1707164063,video,61601,198.09%,11.62%
1177,6e9b00cf-13d3-4794-9030-0c760bc6ee6a,470993352,video,72112,34.78%,4.29%
1179,6ebf49c7-13d2-4843-b305-aaec10538cb6,194499206,video,20104,2.78%,0.77%
1181,6ed3d38b-5586-431b-94eb-66d94c76ed95,1216004030,video,71105,21.18%,1.93%
1183,6ee76dc1-fbe4-48c4-8cbf-75fd45e15603,517366464,video,45540,43.35%,10.20%
1184,6f354952-88a4-4248-a5bb-f9771c74eb57,715947814,video,33551,26.32%,3.13%
1186,6f39e0a0-4975-47d0-b818-f7bd40c9cc7a,244957816,video,67003,9.48%,0.78%
1187,6f4be92f-4be3-49a4-9596-949995eefb0d,304050049,video,35169,15.70%,0.77%
1188,6f61580b-cbac-4963-9544-0010e60ea625,385351736,video,68642,89.14%,5.07%
1191,6fb576b5-6452-4a78-b6f6-073ea8bbd1d4,211154058,video,80316,3.83%,0.37%
1193,6fd3d384-d996-46a9-9806-94f1e7c50279,268147485,video,95700,2.94%,0.66%
1195,70538cf1-e26d-492b-bd4d-20708e1e616a,5438542423,video,47730,19.05%,1.18%
1197,707cbdb6-03e9-4cf4-86f9-2cb82f623e2d,218411968,video,42368,3.05%,0.68%
1199,70c73745-0797-4e58-af4f-d4c7668c9858,2304529617,video,29735,13.59%,1.88%
1201,710411d1-097a-4239-9ee8-d0e5727b9f9a,2900498567,video,82568,35.73%,2.08%
1206,725d9bcd-e3c1-4f48-935b-06bb42fd4999,253659031,video,70348,16.18%,1.30%
1209,72ca9fe4-40b5-4c00-afbf-81c3dea0c4a3,602987107,video,34436,27.22%,2.68%
1213,7350f32f-c8e6-47cd-8990-65f98ea05b42,5598108365,video,86783,7.04%,3.53%
1215,735e2faa-c46a-4c9a-8204-af5f1634d3eb,318895437,video,82275,28.89%,1.14%
1217,73775e4f-1380-4215-ae54-2951c492b7e1,1613190422,video,38367,9.52%,0.66%
1220,7409f021-8a65-4598-8d40-c044d6706735,609614438,video,94654,2.69%,0.23%
1222,7410f52b-71bd-4700-aae3-89e81eb765ca,201008850,video,54127,11.40%,1.09%
1224,7424f223-c8fa-4a49-a539-38e3db988171,48462362,video,60611,9.24%,1.97%
1226,74262324-c835-4225-b236-c941691376fa,3692938008,video,33607,8.96%,2.40%
1228,7483529e-3749-427f-847c-27ae7af2d340,1395745161,video,48540,32.56%,8.74%
1230,7487936e-5a31-4fdf-b94e-42371b6d5309,1150166892,video,61431,7.54%,1.05%
1232,7490a341-c34e-4ffc-bc64-839dea590e02,4429042,video,57306,16.76%,1.06%
1234,74b5bb73-7727-4d51-9879-29403598ad62,201649005,video,33103,6.39%,2.13%
1238,753df243-1357-48e6-a322-2dd02eb5d6d6,509877819,video,49926,16.75%,2.79%
1240,753fb860-1158-4926-a3b6-393feaad7c72,1245323089,video,42831,160.91%,12.76%
1242,754364e2-46de-4c7a-bd0d-5035d5ef732f,1680692049,video,99386,30.36%,2.97%
1243,75612ab3-f061-45dd-a498-6ce77d422c4b,4150948053,video,60879,142.56%,8.78%
1245,757e61e9-fc98-48e2-8465-102d0f1c2974,388289096,video,44823,10.76%,0.89%
1247,75c485f3-3042-4e0d-a1d4-dc49350366cf,4210025154,video,44118,5.75%,0.95%
1250,76944683-dad2-464f-921a-9f32772b89d4,176675779,video,82893,6.59%,1.71%
1252,76b91204-0c6e-44de-a7b4-651084db0578,1485836231,video,33152,13.06%,0.74%
1254,76f2b43b-7699-4f1d-8a76-09e60e0d4d17,1410703691,video,43121,8.91%,1.26%
1256,77004d44-1a81-4c36-9f4c-75b42964487a,35286629,video,46875,7.33%,2.46%
1258,77204ae4-6fbc-4bbc-903d-907cd2b5741a,1480058775,video,33435,19.57%,2.02%
1260,77443a84-15d5-4eb1-9f41-0570e20d2e45,296509595,video,51403,0.42%,0.09%
1263,77ead997-4a19-4da7-aabe-712cf80ed7bc,1137556239,video,26909,65.00%,8.84%
1265,780f4615-2cfc-4317-adc1-a1fbfcf2531f,1175699894,video,32198,3.90%,1.34%
1268,787128e9-2110-45da-8b2a-f7cd23f72fa8,1285482566,video,70722,24.68%,3.86%
1270,78b08b31-d564-4e0d-9d3b-7ec642da7409,4332876418,video,22599,27.50%,6.88%
1273,79282ac6-4128-4c75-9bfc-0ac4ae73c004,505620076,video,58274,0.75%,0.06%
1275,793f211b-8ed6-4320-a02e-2d80c7ee7200,248931538,video,94352,5.43%,0.54%
1278,7950993e-0e68-47fd-affc-1adf78650cef,282882928,video,36289,65.63%,5.80%
1280,79e8b5c7-b871-4e8b-a3a4-713794ec16d8,353091732,video,21285,22.84%,0.90%
1282,79ed5973-8e4a-4925-b529-64645b6aee80,2292110952,video,63971,4.61%,0.95%
1284,7a117412-015a-44ee-836e-9ef11acf3161,384264094,video,76346,20.52%,0.59%
1286,7a37f9e1-c921-4252-9648-a8ab39813e1e,2172322421,video,69586,2.31%,0.35%
1288,7a532ac8-983c-4784-a690-6874b526832a,389385870,video,93613,21.66%,2.55%
1290,7a803fb1-ccdc-4d7c-9440-b673f84f2a69,21579278,video,93410,19.07%,3.81%
1292,7a88223e-fd24-45bb-b058-421cfb7afed4,3080700681,video,90633,39.25%,2.88%
1294,7a9c324c-d369-40d0-91a2-d60e3516e899,454872269,video,33711,9.70%,1.34%
1296,7ad4c28f-a8c9-4d08-bf46-2ff2602629a9,378502021,video,24235,24.32%,2.56%
1297,7aef187c-8c07-4e46-9e35-deba2d2b4573,390619869,video,29780,50.77%,1.80%
1300,7b5bd0a7-c88c-4458-85b2-ca8a1fa4c95f,476888639,video,43570,100.10%,7.88%
1304,7c1db67e-a812-4311-8792-78765347bbac,1811722805,video,49416,6.62%,0.99%
1306,7c3be0cd-8058-4562-b7e6-278f4fae69dc,3896142830,video,23191,10.92%,1.20%
1309,7d4aff94-bede-4bc5-8728-7c1da32f8b2b,255531609,video,30513,7.22%,2.04%
1310,7d700932-6715-4633-a121-8f7282775e3c,3296324725,video,59234,60.72%,15.73%
1312,7d97b637-deff-4fdf-8904-2c22eddc3154,5688406843,video,58906,41.70%,3.66%
1314,7dc90a5e-ce5c-4280-b297-bf815a5bd5f0,3280999259,video,63875,6.01%,0.65%
1315,7df53613-c073-4126-b0c2-4bc2d74facd1,233008609,video,60524,8.17%,1.97%
1318,7e91793b-9568-4d72-89bc-18d507ee323d,255588114,video,40031,3.91%,0.65%
1320,7edcaa5f-8ef9-4713-b8c9-193eba06780b,334547562,video,89163,46.59%,6.86%
1322,7ef99cd0-62cf-4bb4-8485-2ccebac16433,431595880,video,38254,5.42%,0.34%
