,talentId,platformId,type,followers,Avg View Through Rate,Avg Engagement Rate
580,272803eb-82e0-4be9-bf25-0aabec60a53c,372926621,video,23201,7.43%,1.98%
582,272e1abc-eebb-4159-a056-66289b064499,3418099597,video,28346,13.53%,0.67%
584,2735e79f-2c06-4b3d-9c20-6f01c5964be4,401147103,video,37535,1.91%,0.60%
585,27513b4e-51bc-4a95-94fa-7f9fef8f71c6,213152302,video,42108,13.70%,2.69%
588,27a8d476-aead-48c2-80be-9050f3560cab,309100772,video,35329,19.17%,1.83%
591,28645d36-0af7-4a42-863d-b001616605c0,180035937,video,99219,4.76%,0.37%
595,28e71883-bc61-4e40-a099-810d7a52b5a7,223395494,video,47642,2.32%,0.59%
597,28e9efdc-4602-4a3e-a443-7aeff38f504d,287211026,video,44369,12.24%,1.43%
600,2917e379-c095-46fc-8ec0-4f0c49304624,1701649057,video,39017,49.91%,7.17%
602,293e76fe-139a-4166-934a-f3f7e3004ee9,352182495,video,49500,1.31%,0.56%
604,2957e8ac-b0be-4e81-9b64-c020983bef80,343116455,video,71865,3.85%,0.77%
608,29cfd3bb-883a-4a57-bef2-e38c09cdc1d2,3019023446,video,90308,5.48%,0.47%
610,2b81e2ca-bbe5-46fe-8629-950ab4bf9852,1377332295,video,56315,38.72%,5.13%
612,2ba687d1-6395-4277-99aa-7311d644a0b8,523621643,video,63507,284.60%,13.93%
614,2bed0c35-7784-4caa-bde9-4a5ef826362f,1152240995,video,23818,23.29%,2.45%
616,2c474a1b-1676-4784-badb-f0d3b5599db4,3580774023,video,44347,122.51%,7.49%
618,2c5ac81d-3e2b-4bb0-a25e-673da412b765,1478043076,video,51912,28.75%,4.27%
620,2cb67aec-5ab2-42d0-8023-d54cad1ff4b2,222070685,video,90096,19.58%,1.50%
622,2cd33a53-86d4-4892-86e8-8e33106d1624,584675086,video,58550,40.74%,3.14%
623,2d1b6842-763b-423d-bbc2-db0862ec6370,268316218,video,36954,43.59%,4.59%
624,2d6e4a45-d678-44f9-afd8-81edfb713fd1,263767270,video,53909,5.30%,0.69%
626,2d8e0650-318a-4182-a092-539378832dcb,1416053688,video,60621,3.12%,0.56%
629,2d981cce-7c59-45cf-af27-5854e0938af6,443641443,video,27128,5.51%,0.80%
631,2dba09a1-9e78-4a90-9103-177457b816f3,176867717,video,53597,13.92%,4.46%
634,2dca1fbb-3501-40cc-972b-6f73b993969e,208799831,video,34345,111.38%,3.97%
636,2df6616a-5bd7-49bb-b0e4-8a88c33d0a04,596012544,video,27906,3.63%,0.67%
639,2e78601d-5336-4a24-8064-5218cd98a6d6,258125895,video,80588,18.56%,1.65%
641,2ea83acc-1440-4351-9a3a-d86de817faac,183605041,video,44254,21.14%,4.39%
643,2efd2e3d-75d1-4873-a191-ef111d0f6651,308452106,video,72190,4.64%,1.06%
645,2f197bfd-6cf0-4eca-b799-52689d5f5ad5,4146507994,video,37134,21.01%,5.39%
650,30206bd4-f1b8-4384-ac5f-9cc3ac3b6208,2013165722,video,98161,15.73%,1.46%
651,302fdab4-a329-463f-a191-3e31f30e60d3,432937344,video,41813,3.34%,0.94%
654,30bd7b62-b842-4ffa-81b0-477d273b9e5a,4835752,video,79892,6.29%,1.48%
656,30f045fc-3842-46d3-9c80-131c61bd1b34,195316372,video,61720,25.35%,2.87%
661,31f90a33-354f-447e-9761-18b5104543db,1215400923,video,51513,15.97%,2.48%
663,32091479-2c69-43ef-945a-5b29e3a9cc3a,1592163263,video,80465,7.02%,1.11%
666,323761e8-825e-43d1-af84-54aacdce1ce6,1587240769,video,77458,14.11%,1.06%
668,32387c49-a697-4ffa-97eb-b2d7e44a2af1,1637846407,video,42803,32.88%,3.44%
670,3272410c-9b63-4949-8689-c0707aff344d,3495790216,video,43429,52.61%,2.03%
672,3272f31f-1021-4219-ba0c-ac0e291575fd,221863696,video,66357,2.79%,0.34%
674,328e8f2a-1dc8-4517-aca0-b07120b4f74a,1391750891,video,40793,16.11%,1.65%
676,32ac290f-6658-49fa-89dc-5398fa7915fd,3648647550,video,82442,77.92%,7.66%
